Protected Heritage Area,Species Common Name,Animal Behaviour,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021,Total Incidents 2022,Total Incidents 2023
Aulavik National Park of Canada,Wolf,Contact-Property,,,,,,,,,1,,,,,
Auyuittuq National Park of Canada,Polar Bear,Contact-Property,,,,,,,1,,,,,,,
Banff National Park of Canada,Bighorn Sheep,Bluff Charge,,,,,1,,,,,,,1,,
Banff National Park of Canada,Bighorn Sheep,Chase,,,,,,,,,1,,,,,
Banff National Park of Canada,Bighorn Sheep,Contact-Property,,,,,,,1,3,,,,,,
Banff National Park of Canada,Bighorn Sheep,Physical or Aggressive Display,,1,,,,,,,,,,,1,
Banff National Park of Canada,Black Bear,Attack,,,,,,,,,,1,,,,
Banff National Park of Canada,Black Bear,Bluff Charge,,2,1,1,1,,5,1,3,2,1,1,4,3
Banff National Park of Canada,Black Bear,Chase,1,1,,1,,,,,1,,,,1,2
Banff National Park of Canada,Black Bear,Contact-Property,2,2,6,7,3,2,1,10,2,7,6,3,9,1
Banff National Park of Canada,Black Bear,Escort (Follow-Flank),,,1,,,,1,,,2,3,,,
Banff National Park of Canada,Black Bear,Physical or Aggressive Display,,1,1,1,,3,3,2,1,1,1,1,,
Banff National Park of Canada,Black Bear,Predatory Approach,,,,,,,,,,,,,,1
Banff National Park of Canada,Blue Grouse,Attack,,1,,,,,,,,,,,,
Banff National Park of Canada,Blue Grouse,Contact-Property,,,,,,,,,,,,1,,
Banff National Park of Canada,Blue Grouse,Physical or Aggressive Display,,,,,,,,,,1,,,,
Banff National Park of Canada,Columbian Ground Squirrel,Attack,,,,1,,,,,,,,,,
Banff National Park of Canada,Columbian Ground Squirrel,Contact-Property,,,,1,,2,3,,,,,,1,1
Banff National Park of Canada,Common Loon,Physical or Aggressive Display,,,,,,,,,,,,1,,
Banff National Park of Canada,Cougar,Bluff Charge,,,,1,,,,,,,,,,
Banff National Park of Canada,Cougar,Chase,,,,,,,,1,,,,,,
Banff National Park of Canada,Cougar,Contact-People,,,,1,,,,,,,,,,
Banff National Park of Canada,Cougar,Contact-Pet,,,,,,1,,,,,,,,
Banff National Park of Canada,Cougar,Escort (Follow-Flank),,5,,1,1,1,1,,1,,1,,,
Banff National Park of Canada,Cougar,Physical or Aggressive Display,,,,1,,,,,,,,3,,
Banff National Park of Canada,Coyote,Attack,,,,,,1,,,,,,,,
Banff National Park of Canada,Coyote,Bluff Charge,,,,4,,,,,,,,,3,
Banff National Park of Canada,Coyote,Chase,,,2,,1,,,,2,,1,,1,
Banff National Park of Canada,Coyote,Contact-People,,,,3,,1,,,,,,,,
Banff National Park of Canada,Coyote,Contact-Pet,,,1,1,3,2,,,3,,5,,4,1
Banff National Park of Canada,Coyote,Contact-Property,1,,,2,,1,1,4,3,1,2,2,,
Banff National Park of Canada,Coyote,Escort (Follow-Flank),1,3,1,9,4,1,1,2,3,3,5,2,14,1
Banff National Park of Canada,Coyote,Physical or Aggressive Display,3,3,2,5,1,,,,2,1,9,1,8,2
Banff National Park of Canada,Coyote,Predatory Approach,,1,,2,,,,,,,2,,,
Banff National Park of Canada,Crow,Contact-Property,,,,,,,,,,,,,,3
Banff National Park of Canada,Deer Mouse,Contact-Property,,,,,,,1,,,,,,,
Banff National Park of Canada,Domestic Dog,Chase,,1,,,,,1,1,,1,,,2,2
Banff National Park of Canada,Domestic Dog,Physical or Aggressive Display,,,,,,,,,,,,,,2
Banff National Park of Canada,Downy Woodpecker,Contact-Property,1,,,,,,,,,,,,,
Banff National Park of Canada,Elk,Attack,,,,,,,,1,,1,,,,
Banff National Park of Canada,Elk,Bluff Charge,14,4,12,5,8,17,14,10,12,42,28,31,37,22
Banff National Park of Canada,Elk,Chase,,1,,,2,,2,3,1,,3,1,,1
Banff National Park of Canada,Elk,Contact-People,,,,,,,1,2,,,1,,,
Banff National Park of Canada,Elk,Contact-Property,1,,,1,3,3,,1,,,6,1,,5
Banff National Park of Canada,Elk,Escort (Follow-Flank),,,,,,,1,,1,,3,8,,4
Banff National Park of Canada,Elk,Physical or Aggressive Display,12,2,13,12,10,14,16,16,7,35,18,26,14,51
Banff National Park of Canada,Field Sparrow,Contact-Property,,,,,1,,,,,,,,,
Banff National Park of Canada,Gray Jay,Contact-Property,,,,,,,,,,1,,,,
Banff National Park of Canada,Grizzly Bear,Attack,,,,,,1,,,2,,,,,1
Banff National Park of Canada,Grizzly Bear,Bluff Charge,10,13,10,17,25,12,24,6,3,3,14,4,3,8
Banff National Park of Canada,Grizzly Bear,Chase,2,1,1,3,1,1,,,5,,,1,1,
Banff National Park of Canada,Grizzly Bear,Contact-Pet,,,1,,,,,,,,,,,
Banff National Park of Canada,Grizzly Bear,Contact-Property,8,3,2,1,5,2,3,7,1,2,3,,1,1
Banff National Park of Canada,Grizzly Bear,Escort (Follow-Flank),,3,1,2,4,,5,1,,2,1,,,
Banff National Park of Canada,Grizzly Bear,Physical or Aggressive Display,6,2,3,6,10,6,4,2,6,1,5,1,3,
Banff National Park of Canada,Hoary Marmot,Attack,,,,,,,,,,,1,,,
Banff National Park of Canada,Hoary Marmot,Contact-Property,,,,,,,1,,,,,1,,
Banff National Park of Canada,Least Weasel,Contact-Property,,,,,,,1,,,,,,,
Banff National Park of Canada,Lynx,Chase,,1,,,,,,,,,,,,
Banff National Park of Canada,Magpie,Contact-Property,,,1,,,,,1,,1,3,,,
Banff National Park of Canada,Magpie,Physical or Aggressive Display,,,,,,1,,,,,,,,
Banff National Park of Canada,Mallard,Physical or Aggressive Display,,,,,,,,,,,,,1,
Banff National Park of Canada,Marten,Contact-Property,,1,1,,1,,2,,1,,3,2,,3
Banff National Park of Canada,Marten,Physical or Aggressive Display,,,,,,1,,2,,,1,,,1
Banff National Park of Canada,Moose,Contact-Property,,,,,,,1,,,,2,,,
Banff National Park of Canada,Moose,Physical or Aggressive Display,,,,1,,,,,,,,,,
Banff National Park of Canada,Mountain Goat,Chase,,,,,,,1,,,,,,,
Banff National Park of Canada,Mule Deer,Bluff Charge,,,,1,,,,,,,1,,,
Banff National Park of Canada,Mule Deer,Chase,,,1,,,,,,,,1,,,
Banff National Park of Canada,Mule Deer,Contact-People,1,,,,,,1,,,,,,,
Banff National Park of Canada,Mule Deer,Contact-Property,,,,,,,1,2,2,2,1,1,,3
Banff National Park of Canada,Mule Deer,Escort (Follow-Flank),,,,,,,,,,,1,,,
Banff National Park of Canada,Mule Deer,Physical or Aggressive Display,2,,1,1,,,2,,,2,2,1,1,
Banff National Park of Canada,None,Contact-Property,,,1,,2,,,,,,,,,
Banff National Park of Canada,None,Physical or Aggressive Display,,,,,2,,1,,,,,,,
Banff National Park of Canada,Northern Flying Squirrel,Contact-People,,,,,,,,,,,,,1,
Banff National Park of Canada,Osprey,Contact-Property,,1,,,,,,,,,,,,
Banff National Park of Canada,Pileated Woodpecker,Contact-Property,,,,,1,,,,,,,,,
Banff National Park of Canada,Pine Grosbeak,Physical or Aggressive Display,,,,,,1,,,,,,,,
Banff National Park of Canada,Plains Bison,Physical or Aggressive Display,,,,,,,,,,,,1,,
Banff National Park of Canada,Porcupine,Contact-Property,,,,,,,,,,,,1,1,
Banff National Park of Canada,Raven,Contact-Property,,,,,,,,6,8,11,15,1,1,3
Banff National Park of Canada,Raven,Physical or Aggressive Display,1,,,,,,,,,,,,,
Banff National Park of Canada,Red Fox,Contact-Property,1,,,,,,,,1,4,10,4,1,
Banff National Park of Canada,Red Fox,Escort (Follow-Flank),,,,,,,,,,,1,1,,
Banff National Park of Canada,Red Fox,Physical or Aggressive Display,,,,,,,,,,,,2,,1
Banff National Park of Canada,Red Squirrel,Attack,,,,,,,,2,,,,,,
Banff National Park of Canada,Red Squirrel,Contact-Property,,2,3,,2,,3,1,,3,1,,,
Banff National Park of Canada,Red-winged Blackbird,Attack,,,,,,,,,,,,,1,
Banff National Park of Canada,Richardson's Ground Squirrel,Contact-Property,,,,,,,1,,,1,,,,
Banff National Park of Canada,Spruce Grouse,Contact-Property,,,,,,,,,,,,1,,
Banff National Park of Canada,Spruce Grouse,Physical or Aggressive Display,,,,3,,,,,,,,,1,
Banff National Park of Canada,Unknown,Contact-People,,,1,,,,,,,,1,,,
Banff National Park of Canada,Unknown,Contact-Property,2,,1,,,,1,,,1,2,1,,2
Banff National Park of Canada,Unknown,Escort (Follow-Flank),,,,,,,1,,,,,,,
Banff National Park of Canada,Unknown bat,Contact-People,,,,,,,,,1,,,,,
Banff National Park of Canada,Unknown bat,Contact-Property,,,1,,1,,,,,,,,,
Banff National Park of Canada,Unknown bear,Bluff Charge,,,1,,,1,1,1,,,,,,
Banff National Park of Canada,Unknown bear,Contact-People,1,,,,,,,,,,,,,
Banff National Park of Canada,Unknown bear,Contact-Property,3,,1,,,,2,,,1,,1,,
Banff National Park of Canada,Unknown bear,Escort (Follow-Flank),,,,,,1,,,,,,,,
Banff National Park of Canada,Unknown bear,Physical or Aggressive Display,1,,,,1,,,,,1,,,,
Banff National Park of Canada,Unknown bird,Contact-Property,,,,,,,,,1,1,1,,,
Banff National Park of Canada,Unknown canid,Escort (Follow-Flank),,,,,,,,,,,,1,,
Banff National Park of Canada,Unknown deer,Contact-People,,1,,,,,,,,,,,,
Banff National Park of Canada,Unknown deer,Contact-Property,,,,,,,,1,,,1,,1,
Banff National Park of Canada,Unknown deer,Physical or Aggressive Display,,,,,,,,,,,,,1,
Banff National Park of Canada,Unknown gull,Contact-Property,,,,,,,,,,1,,,,
Banff National Park of Canada,Unknown mustelid,Contact-Property,,,,,1,,,,,,,,,
Banff National Park of Canada,Unknown Myotis bat,Contact-People,,,,,,,,,,,,,,1
Banff National Park of Canada,Unknown rodent,Contact-Property,,,,,,,,,,,1,,,
Banff National Park of Canada,Unknown ungulate,Contact-Property,,,,,,,,,1,,,,,
Banff National Park of Canada,Wolf,Attack,,,,,,,,,,1,,,,
Banff National Park of Canada,Wolf,Chase,,1,,,,,1,,,,,,,1
Banff National Park of Canada,Wolf,Contact-Pet,,,1,,,,,,,1,,,,
Banff National Park of Canada,Wolf,Contact-Property,,,,,,1,2,,,,2,,,
Banff National Park of Canada,Wolf,Escort (Follow-Flank),,,,,,1,11,,,1,1,,1,
Banff National Park of Canada,Wolf,Physical or Aggressive Display,,,,1,,1,2,,,,,,,
Banff National Park of Canada,Wolverine,Escort (Follow-Flank),,,,1,,,,,,,,,,
Banff National Park of Canada,Woodrat,Contact-Property,,,,,,1,2,,1,,,,,
Banff National Park of Canada,Yellow-pine Chipmunk,Physical or Aggressive Display,,,,,,,,,,,1,,,
Bellevue House National Historic Site of Canada,Raccoon,Contact-Property,,,,,,,,,,,,,1,
Bruce Peninsula National Park of Canada,Beaver,Contact-Property,2,,,,,1,,,,,,,,
Bruce Peninsula National Park of Canada,Black Bear,Contact-Property,15,7,,4,1,4,3,1,1,,,3,9,6
Bruce Peninsula National Park of Canada,Black Bear,Escort (Follow-Flank),1,1,,,,,,,,,,,,
Bruce Peninsula National Park of Canada,Black Bear,Physical or Aggressive Display,,,,,,,1,,,,,,,
Bruce Peninsula National Park of Canada,Eastern Chipmunk,Attack,,,,,,,,1,,,,,,
Bruce Peninsula National Park of Canada,Massasauga,Attack,,1,,,,,,,,,,,,
Bruce Peninsula National Park of Canada,Massasauga,Contact-Property,,,,,,,,,,,,,,1
Bruce Peninsula National Park of Canada,Massasauga,Physical or Aggressive Display,,,,,,,1,,,,,,,
Bruce Peninsula National Park of Canada,Raccoon,Bluff Charge,,,,,,,,,,,,,,1
Bruce Peninsula National Park of Canada,Raccoon,Contact-People,,,,,,,,,,,,,,1
Bruce Peninsula National Park of Canada,Raccoon,Contact-Pet,,,1,,,,,,,,,,,1
Bruce Peninsula National Park of Canada,Raccoon,Contact-Property,2,,1,,,,2,,,,,,1,13
Bruce Peninsula National Park of Canada,Raccoon,Physical or Aggressive Display,,,1,,,,,,,,,,,
Bruce Peninsula National Park of Canada,Unknown,Contact-Property,1,,,,,,,,,,,,,2
Bruce Peninsula National Park of Canada,Unknown snake,Contact-People,,,,,,,1,,,,,,1,
Cape Breton Highlands National Park of Canada,Black Bear,Bluff Charge,,,,,1,1,,,1,,,,,
Cape Breton Highlands National Park of Canada,Black Bear,Chase,,,,,,2,,,,,,,,
Cape Breton Highlands National Park of Canada,Black Bear,Contact-Property,,,1,,,,,,,1,3,2,1,2
Cape Breton Highlands National Park of Canada,Black Bear,Escort (Follow-Flank),,,,,,,,,,,,,1,
Cape Breton Highlands National Park of Canada,Black Bear,Physical or Aggressive Display,,1,,,1,,,,,,,,,
Cape Breton Highlands National Park of Canada,Coyote,Attack,1,1,,,,,,,,,,,,1
Cape Breton Highlands National Park of Canada,Coyote,Chase,5,,1,,,,,1,,,,1,2,4
Cape Breton Highlands National Park of Canada,Coyote,Contact-People,,,,,1,,,,,,,,,
Cape Breton Highlands National Park of Canada,Coyote,Contact-Property,,1,,,,,,,,,,,,
Cape Breton Highlands National Park of Canada,Coyote,Escort (Follow-Flank),3,,,,,,,,,,,,,
Cape Breton Highlands National Park of Canada,Coyote,Physical or Aggressive Display,2,2,,,1,1,,,,,,,,1
Cape Breton Highlands National Park of Canada,Moose,Bluff Charge,,1,,,2,1,1,,2,1,,,,
Cape Breton Highlands National Park of Canada,Moose,Chase,,1,,,,,,,,,,,,
Cape Breton Highlands National Park of Canada,Moose,Physical or Aggressive Display,,,,,,,1,,1,1,,,,
Cape Breton Highlands National Park of Canada,Raccoon,Contact-Property,,,,,,,,,,,1,,,
Cape Breton Highlands National Park of Canada,Ruffed Grouse,Physical or Aggressive Display,,,,,,,,,,,,1,,
Cape Breton Highlands National Park of Canada,Unknown gull,Chase,,,,,,,,,,,,1,,
Cape Breton Highlands National Park of Canada,Unknown hawk,Physical or Aggressive Display,,,,,1,,,,,,,,,
Chilkoot Trail National Historic Site of Canada,Black Bear,Bluff Charge,,1,,1,,,,,,,,,,
Chilkoot Trail National Historic Site of Canada,Black Bear,Contact-Property,,,1,,,,,,,,,,,
Chilkoot Trail National Historic Site of Canada,Unknown,Contact-Property,,,,,,1,,,,,,,,
Elk Island National Park of Canada,Beaver,Contact-Property,,5,1,,,,,,,,1,,,
Elk Island National Park of Canada,Beaver,Escort (Follow-Flank),,,,,,,,,,,2,,,
Elk Island National Park of Canada,Black Bear,Contact-Property,,,,,,,,,,,,,2,
Elk Island National Park of Canada,Black Bear,Escort (Follow-Flank),,,,,,,,,1,,,,,
Elk Island National Park of Canada,Black Bear,Physical or Aggressive Display,,,,,,,,1,,,,,,
Elk Island National Park of Canada,Coyote,Chase,,,,,,,,,,,,,,1
Elk Island National Park of Canada,Coyote,Contact-Property,,,,,,,,,,,,,,1
Elk Island National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,1,,,,,,,
Elk Island National Park of Canada,Coyote,Physical or Aggressive Display,,,,,,1,,,,,,,,
Elk Island National Park of Canada,Domestic Dog,Chase,,,1,,,,,,,,,,,
Elk Island National Park of Canada,Elk,Physical or Aggressive Display,,,,,,,,,,,1,,,
Elk Island National Park of Canada,Magpie,Contact-Property,,,1,,,,,,,,,,,
Elk Island National Park of Canada,Mallard,Physical or Aggressive Display,,,,,,,,,,,,,1,
Elk Island National Park of Canada,Moose,Contact-Property,,,,1,1,,,,,,,,,
Elk Island National Park of Canada,Moose,Physical or Aggressive Display,,,,1,,,,,,,,,,
Elk Island National Park of Canada,Muskrat,Attack,,,,,,,,,,,,,,1
Elk Island National Park of Canada,Plains Bison,Attack,1,1,,,,,,,2,,,1,,
Elk Island National Park of Canada,Plains Bison,Bluff Charge,,1,,1,,2,1,2,1,1,5,3,7,5
Elk Island National Park of Canada,Plains Bison,Chase,,,,,,,,,1,1,,,,
Elk Island National Park of Canada,Plains Bison,Contact-People,,,,,,,,,,,1,,,
Elk Island National Park of Canada,Plains Bison,Contact-Property,,1,,2,,2,,,,,,,2,
Elk Island National Park of Canada,Plains Bison,Escort (Follow-Flank),,,,,1,,,,,,,,,
Elk Island National Park of Canada,Plains Bison,Physical or Aggressive Display,,,,,3,3,4,1,,8,,4,2,1
Elk Island National Park of Canada,Richardson's Ground Squirrel,Contact-Property,,,1,,,,,,,,,,,
Elk Island National Park of Canada,Unknown rodent,Contact-Property,,,,,,1,,,,,,,,
Elk Island National Park of Canada,White-tailed Deer,Contact-Property,1,,,,,,,,,,,,,
Elk Island National Park of Canada,Wood Bison,Attack,,,,,1,,,,,,,,,
Fathom Five National Marine Park of Canada,Red Squirrel,Attack,,,,,,,,,,,1,,,
Forillon National Park of Canada,Black Bear,Bluff Charge,,2,,2,,,,2,,1,,,,
Forillon National Park of Canada,Black Bear,Contact-Property,1,4,1,1,1,,2,,,2,1,,,
Forillon National Park of Canada,Black Bear,Escort (Follow-Flank),,,,1,,,,,,,,,,
Forillon National Park of Canada,Black Bear,Physical or Aggressive Display,,2,,,,,,,,1,,,,
Forillon National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,,,,,,,,1
Forillon National Park of Canada,Coyote,Physical or Aggressive Display,,,,,,,,,1,,,,,
Forillon National Park of Canada,Moose,Bluff Charge,1,,1,,,,,,,1,,,,
Forillon National Park of Canada,Red Fox,Contact-Pet,,,,1,,,,,,,,,,
Forillon National Park of Canada,Red Squirrel,Attack,,,,,,,,,,1,,,,
Forillon National Park of Canada,Sharp-shinned Hawk,Physical or Aggressive Display,,,,,,,,,1,,,,,
Forillon National Park of Canada,Wasp,Contact-People,2,1,1,2,,,,,,,1,,,
Fort Walsh National Historic Site of Canada,Unknown raptor,Attack,,,,,,,,,,,,1,,
Fundy National Park of Canada,Moose,Bluff Charge,,,,,,,,,,,,,1,
Fundy National Park of Canada,Moose,Contact-Property,,,,1,,,,,,,,,,
Fundy National Park of Canada,Red Fox,Contact-Property,,,,,,,,,,,,1,,
Georgian Bay Islands National Park of Canada,Black Bear,Bluff Charge,,,1,,,,,,,,,,1,
Georgian Bay Islands National Park of Canada,Black Bear,Chase,,,1,,,,,,,,,,,
Georgian Bay Islands National Park of Canada,Black Bear,Contact-Property,3,28,26,,1,,,2,9,5,6,6,37,
Georgian Bay Islands National Park of Canada,Black Bear,Physical or Aggressive Display,,2,2,,,1,,,,,,,,
Georgian Bay Islands National Park of Canada,Massasauga,Contact-People,1,1,,,,,,,,,,1,,
Georgian Bay Islands National Park of Canada,Massasauga,Contact-Pet,1,,1,,,,,1,,,,,,
Georgian Bay Islands National Park of Canada,Porcupine,Contact-Pet,,,,,,,,,,,,1,,
Georgian Bay Islands National Park of Canada,Raccoon,Contact-Property,,1,,,,,,,,,,1,1,
Georgian Bay Islands National Park of Canada,Wasp,Contact-People,,1,,,1,,,,,,,,,
Georgian Bay Islands National Park of Canada,Water Snake,Attack,,,,,,,,1,,,,,,
Glacier National Park of Canada,Black Bear,Contact-Property,,,,,,,,,,,,1,,4
Glacier National Park of Canada,Black Bear,Escort (Follow-Flank),,1,,,,,,,,,,,,1
Glacier National Park of Canada,Black Bear,Physical or Aggressive Display,2,,,,,,,,,,,,2,
Glacier National Park of Canada,Grizzly Bear,Bluff Charge,,,3,2,1,1,4,,,1,,,2,
Glacier National Park of Canada,Grizzly Bear,Chase,,,,,1,,,,,,,1,,
Glacier National Park of Canada,Grizzly Bear,Contact-Property,,,,,,,1,,,,,1,1,
Glacier National Park of Canada,Grizzly Bear,Escort (Follow-Flank),,,1,,,5,,,,,2,,1,
Glacier National Park of Canada,Grizzly Bear,Physical or Aggressive Display,,,2,1,,1,1,,1,1,,1,,1
Glacier National Park of Canada,Marten,Contact-Property,4,,1,,,1,,,,,,,,
Glacier National Park of Canada,Mountain Goat,Contact-Property,,,,,,,,,,,,1,,
